valg,parti,kandidat,antal_stemmer,kommune/region,SFU_kandidat,anna_liste
kommunalvalg,A. Socialdemokratiet,Aase Bagger,0,Ishøj Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Aase Pedersen,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Abdirashid Sheikh,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Abdul Karim Ahmad,0,Ringkøbing-Skjern Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Adeel Akhtar,0,Brøndby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Adnan Ali Amin,0,Albertslund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Adnan Y. M. Jedon, Brønderslev",0,Brønderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ahmed Huseen Dhaqane,374,Rødovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Akhlaq Ahmad,0,Albertslund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Aksel Carlsen, Rønninge",8,Kerteminde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alaaidin Abdelhafiz,39,Faxe Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alex Bødiker,0,Haderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alex Gren,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alex Vejby Nielsen,0,Vejle Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Alexander Baadh, Trørød",0,Rudersdal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alexander Gundelack Angelo,0,Hvidovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alexander Semga Nyugha,0,Aalborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ali Yavuz,0,Slagelse Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Alice Rudkjær, Bistrup",0,Rudersdal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alice Silkjær,0,Allerød Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Aligo Francis,83,Næstved Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alina Racila,0,Tønder Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Andersen,0,Tårnby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Brink Christensen,0,Glostrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Buch,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Gjersbøl, Grenaa",0,Norddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Kreutzfeldt, Ølstykke",0,Egedal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Larsen,0,Glostrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Lauenblad, Vejen",0,Vejen Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Mose Jakobsen,0,Lemvig Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Mølgaard Grosbøl, Hedensted",0,Hedensted Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Nielsen,0,Gribskov Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Pertti Frandsen, Herslev",0,Fredericia Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Sjørslev, Kerteminde",15,Kerteminde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan-Ivan Kristensen,0,Tårnby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Almin Gabela, Sakskøbing",0,Guldborgsund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Amalie Kallesøe Bergholdt,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Amanda Irina Larsen,0,Hvidovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Bertel, Frederiks",2524,Viborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anders Brandt Sørensen,0,Frederikshavn Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Bruun Rasmussen, Vestbyen",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anders J. Andersen,0,Vordingborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Kjær Kristensen, Vognsild",107,Vesthimmerlands Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anders Liltorp,0,Hvidovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Løvbjerg, Silkeborg",0,Silkeborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Olesen, Vipperød",0,Holbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Stenumgaard Lind, Grenaa",0,Norddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Vaagan, Vestbyen",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Vigild, Gedved",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anders Winnerskjold,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Andre Osnes,0,Aalborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Andreas Bech, Køge",0,Køge Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Andreas Boesen, Vestbyen",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Andreas Frimer Linde,0,Lyngby-Taarbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Andreas Green, Nykøbing F.",0,Guldborgsund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Andreas Keil,0,Københavns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Andreas Tang-Brock, Ry",0,Skanderborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"André Ellegaard Jensen, Nørager",67,Rebild Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ane Marie Søborg,0,Ringkøbing-Skjern Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anes Halilovic,0,Lolland Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Bæk,77,Hjørring Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anette Hyre-Jensen, Fredericia - Midtbyen",0,Fredericia Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Lykke Jensen,67,Nordfyns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anette Maj Billesbølle, Holte",0,Rudersdal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Pilmark,0,Brøndby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Poulsen,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Rachlitz,391,Rødovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Sandgreen,0,Vallensbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Ani Maj Andersen, Aabenraa",0,Aabenraa Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anita Brandorff,0,Haderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anita Søholm, Rønde",400,Syddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Al-Erhayem,458,Sorø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Bisp Pedersen,0,Frederikssund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Holtze,0,Ballerup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anja Kjærhus, Torsted",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Reilev,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Resen,0,Ringsted Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Valente,37,Ærø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anje Holmstad,0,Helsingør Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Ann Britt Frederiksen, Vester Hornum",81,Vesthimmerlands Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ann Chalotte Johansen,219,Nordfyns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ann Rubæk-Nielsen,0,Bornholms Regionskommune,Nej,Nej
